SKU,Customer demographics
SKU0,Non-binary
SKU1,Female
SKU2,Unknown
SKU3,Non-binary
SKU4,Non-binary
SKU5,Non-binary
SKU6,Male
SKU7,Female
SKU8,Female
SKU9,Unknown
SKU10,Non-binary
SKU11,Female
SKU12,Unknown
SKU13,Male
SKU14,Non-binary
SKU15,Non-binary
SKU16,Female
SKU17,Female
SKU18,Unknown
SKU19,Unknown
SKU20,Unknown
SKU21,Unknown
SKU22,Unknown
SKU23,Unknown
SKU24,Male
SKU25,Male
SKU26,Male
SKU27,Unknown
SKU28,Female
SKU29,Female
SKU30,Male
SKU31,Male
SKU32,Unknown
SKU33,Non-binary
SKU34,Unknown
SKU35,Female
SKU36,Female
SKU37,Female
SKU38,Non-binary
SKU39,Female
SKU40,Female
SKU41,Female
SKU42,Female
SKU43,Unknown
SKU44,Female
SKU45,Male
SKU46,Non-binary
SKU47,Male
SKU48,Non-binary
SKU49,Unknown
SKU50,Female
SKU51,Male
SKU52,Male
SKU53,Male
SKU54,Non-binary
SKU55,Male
SKU56,Non-binary
SKU57,Unknown
SKU58,Non-binary
SKU59,Non-binary
SKU60,Female
SKU61,Unknown
SKU62,Unknown
SKU63,Non-binary
SKU64,Female
SKU65,Male
SKU66,Female
SKU67,Unknown
SKU68,Non-binary
SKU69,Non-binary
SKU70,Female
SKU71,Female
SKU72,Non-binary
SKU73,Male
SKU74,Female
SKU75,Non-binary
SKU76,Male
SKU77,Unknown
SKU78,Unknown
SKU79,Non-binary
SKU80,Unknown
SKU81,Unknown
SKU82,Unknown
SKU83,Unknown
SKU84,Unknown
SKU85,Female
SKU86,Unknown
SKU87,Male
SKU88,Male
SKU89,Unknown
SKU90,Non-binary
SKU91,Male
SKU92,Male
SKU93,Unknown
SKU94,Unknown
SKU95,Unknown
SKU96,Non-binary
SKU97,Male
SKU98,Female
SKU99,Unknown
