SKU,Availability,Stock levels,Lead times
SKU0,55,58,7
SKU1,95,53,30
SKU2,34,1,10
SKU3,68,23,13
SKU4,26,5,3
SKU5,87,90,27
SKU6,48,11,15
SKU7,59,93,17
SKU8,78,5,10
SKU9,35,14,27
SKU10,11,51,13
SKU11,95,46,23
SKU12,41,100,30
SKU13,5,80,8
SKU14,26,54,29
SKU15,94,9,8
SKU16,74,2,5
SKU17,82,45,17
SKU18,23,10,10
SKU19,100,48,11
SKU20,22,27,12
SKU21,60,69,25
SKU22,55,71,1
SKU23,30,84,5
SKU24,32,4,26
SKU25,73,82,11
SKU26,9,59,16
SKU27,42,47,9
SKU28,12,48,15
SKU29,3,45,5
SKU30,10,60,26
SKU31,28,6,17
SKU32,43,89,13
SKU33,63,4,17
SKU34,96,1,26
SKU35,11,42,27
SKU36,34,18,23
SKU37,5,25,8
SKU38,75,69,1
SKU39,26,78,29
SKU40,97,90,20
SKU41,35,64,19
SKU42,98,22,27
SKU43,6,36,29
SKU44,34,13,19
SKU45,1,93,7
SKU46,75,92,29
SKU47,93,4,15
SKU48,28,30,16
SKU49,19,97,24
SKU50,91,31,23
SKU51,61,100,4
SKU52,1,64,11
SKU53,93,96,25
SKU54,11,33,22
SKU55,16,97,11
SKU56,90,25,23
SKU57,65,5,18
SKU58,81,10,5
SKU59,30,100,16
SKU60,16,41,27
SKU61,23,32,23
SKU62,89,86,2
SKU63,55,54,19
SKU64,11,73,27
SKU65,72,57,24
SKU66,52,13,17
SKU67,16,12,9
SKU68,29,0,8
SKU69,62,95,1
SKU70,90,10,12
SKU71,14,76,2
SKU72,88,57,29
SKU73,41,17,25
SKU74,64,41,6
SKU75,29,16,20
SKU76,23,38,1
SKU77,14,96,28
SKU78,50,5,4
SKU79,56,31,25
SKU80,75,39,14
SKU81,9,48,6
SKU82,13,42,19
SKU83,82,65,24
SKU84,99,73,26
SKU85,83,15,18
SKU86,18,32,14
SKU87,24,5,7
SKU88,58,60,18
SKU89,10,90,1
SKU90,56,66,18
SKU91,90,98,22
SKU92,44,90,25
SKU93,88,63,17
SKU94,97,77,26
SKU95,65,15,14
SKU96,29,67,2
SKU97,56,46,19
SKU98,43,53,1
SKU99,17,55,8
