SKU,Product type,Price
SKU0,haircare,69.80800554
SKU1,skincare,14.84352328
SKU2,haircare,11.31968329
SKU3,skincare,61.16334302
SKU4,skincare,4.805496036
SKU5,haircare,1.699976014
SKU6,skincare,4.078332863
SKU7,cosmetics,42.95838438
SKU8,cosmetics,68.71759675
SKU9,skincare,64.01573294
SKU10,skincare,15.70779568
SKU11,skincare,90.63545998
SKU12,haircare,71.21338908
SKU13,skincare,16.16039332
SKU14,skincare,99.17132864
SKU15,skincare,36.98924493
SKU16,skincare,7.54717211
SKU17,cosmetics,81.46253437
SKU18,haircare,36.44362777
SKU19,skincare,51.12387009
SKU20,skincare,96.34107244
SKU21,cosmetics,84.89386898
SKU22,haircare,27.67978089
SKU23,cosmetics,4.324341186
SKU24,haircare,4.156308359
SKU25,haircare,39.62934399
SKU26,haircare,97.44694662
SKU27,cosmetics,92.55736081
SKU28,cosmetics,2.397274706
SKU29,cosmetics,63.44755919
SKU30,haircare,8.022859211
SKU31,skincare,50.84739305
SKU32,skincare,79.20993602
SKU33,cosmetics,64.795435
SKU34,skincare,37.46759233
SKU35,cosmetics,84.95778682
SKU36,skincare,9.813002579
SKU37,skincare,23.39984475
SKU38,cosmetics,52.07593068
SKU39,skincare,19.12747727
SKU40,skincare,80.54142417
SKU41,skincare,99.11329162
SKU42,skincare,46.52916761
SKU43,haircare,11.74327178
SKU44,cosmetics,51.35579091
SKU45,haircare,33.78413803
SKU46,haircare,27.0822072
SKU47,skincare,95.71213588
SKU48,haircare,76.03554443
SKU49,cosmetics,78.89791321
SKU50,cosmetics,14.20348426
SKU51,haircare,26.70076097
SKU52,skincare,98.03182966
SKU53,skincare,30.34147071
SKU54,haircare,31.14624316
SKU55,haircare,79.85505834
SKU56,skincare,20.98638604
SKU57,haircare,49.26320535
SKU58,skincare,59.84156138
SKU59,cosmetics,63.82839835
SKU60,skincare,17.02802792
SKU61,haircare,52.0287499
SKU62,cosmetics,72.79635396
SKU63,skincare,13.01737679
SKU64,skincare,89.63409561
SKU65,skincare,33.69771721
SKU66,skincare,26.03486977
SKU67,skincare,87.75543235
SKU68,haircare,37.93181238
SKU69,skincare,54.86552852
SKU70,haircare,47.91454182
SKU71,cosmetics,6.381533163
SKU72,cosmetics,90.20442752
SKU73,cosmetics,83.85101768
SKU74,haircare,3.170011414
SKU75,skincare,92.99688423
SKU76,haircare,69.10879955
SKU77,haircare,57.44974296
SKU78,haircare,6.306883176
SKU79,haircare,57.05703122
SKU80,skincare,91.12831835
SKU81,haircare,72.81920693
SKU82,skincare,17.03493074
SKU83,haircare,68.91124621
SKU84,haircare,89.10436729
SKU85,cosmetics,76.96299442
SKU86,skincare,19.99817694
SKU87,haircare,80.41403665
SKU88,cosmetics,75.27040698
SKU89,cosmetics,97.76008558
SKU90,skincare,13.8819135
SKU91,cosmetics,62.11196546
SKU92,cosmetics,47.71423308
SKU93,haircare,69.290831
SKU94,cosmetics,3.037688725
SKU95,haircare,77.90392722
SKU96,cosmetics,24.42313142
SKU97,haircare,3.526111259
SKU98,skincare,19.75460487
SKU99,haircare,68.5178327
