SKU,Number of products sold,Revenue generated,Order quantities
SKU0,802,8661.996792,96
SKU1,736,7460.900065,37
SKU2,8,9577.749626,88
SKU3,83,7766.836426,59
SKU4,871,2686.505152,56
SKU5,147,2828.348746,66
SKU6,65,7823.47656,58
SKU7,426,8496.103813,11
SKU8,150,7517.363211,15
SKU9,980,4971.145988,83
SKU10,996,2330.965802,80
SKU11,960,6099.944116,60
SKU12,336,2873.741446,85
SKU13,249,4052.738416,48
SKU14,562,8653.570926,78
SKU15,469,5442.086785,69
SKU16,280,6453.797968,78
SKU17,126,2629.396435,85
SKU18,620,9364.673505,46
SKU19,187,2553.495585,94
SKU20,320,8128.027697,68
SKU21,601,7087.052696,7
SKU22,884,2390.807867,63
SKU23,391,8858.367571,29
SKU24,209,9049.077861,2
SKU25,142,2174.777054,52
SKU26,353,3716.493326,48
SKU27,352,2686.457224,62
SKU28,394,6117.324615,24
SKU29,253,8318.903195,67
SKU30,327,2766.342367,35
SKU31,168,9655.135103,44
SKU32,781,9571.550487,64
SKU33,616,5149.99835,95
SKU34,602,9061.710896,21
SKU35,449,6541.329345,85
SKU36,963,7573.402458,28
SKU37,963,2438.33993,21
SKU38,705,9692.31804,88
SKU39,176,1912.465663,34
SKU40,933,5724.95935,39
SKU41,556,5521.205259,38
SKU42,155,1839.609426,57
SKU43,598,5737.425599,85
SKU44,919,7152.286049,72
SKU45,24,5267.956808,52
SKU46,859,2556.767361,6
SKU47,910,7089.47425,51
SKU48,29,7397.071005,9
SKU49,99,8001.613207,9
SKU50,633,5910.88539,82
SKU51,154,9866.465458,52
SKU52,820,9435.762609,11
SKU53,242,8232.334829,54
SKU54,622,6088.02148,61
SKU55,701,2925.67517,11
SKU56,93,4767.020484,83
SKU57,227,1605.8669,51
SKU58,896,2021.14981,44
SKU59,484,1061.618523,26
SKU60,380,8864.08435,72
SKU61,117,6885.589351,36
SKU62,270,3899.746834,40
SKU63,246,4256.949141,10
SKU64,134,8458.730878,75
SKU65,457,8354.579686,54
SKU66,704,8367.721618,19
SKU67,513,9473.798033,71
SKU68,163,3550.218433,58
SKU69,511,1752.381087,27
SKU70,32,7014.887987,22
SKU71,637,8180.337085,26
SKU72,478,2633.121981,77
SKU73,375,7910.886916,66
SKU74,904,5709.945296,1
SKU75,106,1889.07359,56
SKU76,241,5328.375984,22
SKU77,359,2483.760178,57
SKU78,946,1292.458418,51
SKU79,198,7888.723268,20
SKU80,872,8651.672683,41
SKU81,774,4384.4134,8
SKU82,336,2943.381868,72
SKU83,663,2411.754632,7
SKU84,618,2048.2901,80
SKU85,25,8684.613059,66
SKU86,223,1229.591029,22
SKU87,79,5133.846701,55
SKU88,737,9444.742033,85
SKU89,134,5924.682567,27
SKU90,320,9592.63357,96
SKU91,916,1935.206794,85
SKU92,276,2100.129755,10
SKU93,114,4531.402134,66
SKU94,987,7888.356547,72
SKU95,672,7386.363944,26
SKU96,324,7698.424766,32
SKU97,62,4370.91658,4
SKU98,913,8525.95256,27
SKU99,627,9185.185829,59
