SKU,Shipping times,Shipping carriers,Shipping costs,Transportation modes,Routes
SKU0,4,Carrier B,2.956572139,Road,Route B
SKU1,2,Carrier A,9.716574771,Road,Route B
SKU2,2,Carrier B,8.054479262,Air,Route C
SKU3,6,Carrier C,1.729568564,Rail,Route A
SKU4,8,Carrier A,3.890547916,Air,Route A
SKU5,3,Carrier B,4.444098864,Road,Route A
SKU6,8,Carrier C,3.880763303,Sea,Route A
SKU7,1,Carrier B,2.348338784,Road,Route C
SKU8,7,Carrier C,3.404733857,Sea,Route B
SKU9,1,Carrier A,7.166645291,Rail,Route B
SKU10,2,Carrier C,8.673211211,Road,Route B
SKU11,1,Carrier A,4.523943124,Air,Route A
SKU12,4,Carrier A,1.32527401,Road,Route B
SKU13,9,Carrier A,9.537283061,Road,Route B
SKU14,5,Carrier B,2.039770189,Air,Route B
SKU15,7,Carrier B,2.422039723,Sea,Route B
SKU16,1,Carrier B,4.191324586,Air,Route A
SKU17,9,Carrier C,3.585418958,Air,Route C
SKU18,8,Carrier C,4.339224714,Sea,Route A
SKU19,3,Carrier A,4.742635883,Road,Route C
SKU20,6,Carrier A,8.878334651,Air,Route B
SKU21,6,Carrier B,6.037883769,Air,Route C
SKU22,10,Carrier A,9.567648921,Rail,Route C
SKU23,7,Carrier A,2.924857601,Rail,Route A
SKU24,8,Carrier C,9.741291689,Air,Route A
SKU25,3,Carrier C,2.231073681,Road,Route B
SKU26,4,Carrier B,6.507548621,Rail,Route A
SKU27,8,Carrier C,7.406750953,Sea,Route B
SKU28,4,Carrier B,9.898140508,Air,Route A
SKU29,7,Carrier B,8.100973145,Road,Route B
SKU30,7,Carrier B,8.954528315,Road,Route C
SKU31,4,Carrier B,2.679660965,Rail,Route C
SKU32,4,Carrier C,6.599104901,Road,Route A
SKU33,9,Carrier C,4.858270503,Sea,Route A
SKU34,7,Carrier A,1.019487571,Road,Route B
SKU35,8,Carrier C,5.28818999,Sea,Route C
SKU36,3,Carrier B,2.107951267,Air,Route C
SKU37,9,Carrier A,1.532655274,Sea,Route A
SKU38,5,Carrier B,9.235931437,Air,Route B
SKU39,3,Carrier A,5.562503779,Air,Route B
SKU40,8,Carrier C,7.22959514,Road,Route A
SKU41,8,Carrier B,5.773263744,Sea,Route A
SKU42,4,Carrier C,7.526248327,Road,Route A
SKU43,9,Carrier B,3.694021268,Air,Route A
SKU44,6,Carrier C,7.577449657,Rail,Route A
SKU45,6,Carrier B,5.215155009,Rail,Route A
SKU46,8,Carrier B,4.070955837,Road,Route B
SKU47,9,Carrier B,8.978750756,Rail,Route A
SKU48,3,Carrier C,7.095833157,Rail,Route B
SKU49,6,Carrier C,2.505621033,Rail,Route A
SKU50,10,Carrier A,6.247860915,Rail,Route B
SKU51,1,Carrier A,4.783000558,Road,Route A
SKU52,1,Carrier B,8.63105218,Air,Route C
SKU53,3,Carrier B,1.013486566,Air,Route B
SKU54,3,Carrier B,4.305103471,Road,Route B
SKU55,5,Carrier A,5.014364955,Sea,Route B
SKU56,5,Carrier C,1.774429714,Air,Route B
SKU57,1,Carrier B,9.160558535,Rail,Route A
SKU58,7,Carrier A,4.938438565,Road,Route B
SKU59,7,Carrier B,7.293722597,Air,Route A
SKU60,8,Carrier C,4.381368158,Rail,Route A
SKU61,7,Carrier C,9.030340423,Air,Route A
SKU62,7,Carrier C,7.291701389,Sea,Route C
SKU63,4,Carrier A,2.457933528,Sea,Route A
SKU64,6,Carrier C,4.585353468,Air,Route C
SKU65,8,Carrier C,6.580541348,Rail,Route C
SKU66,8,Carrier A,2.216142729,Road,Route A
SKU67,9,Carrier C,9.147811545,Sea,Route C
SKU68,8,Carrier B,1.194251865,Rail,Route A
SKU69,3,Carrier B,9.70528679,Air,Route A
SKU70,4,Carrier B,6.315717755,Road,Route C
SKU71,6,Carrier A,9.228190317,Road,Route A
SKU72,9,Carrier A,6.59961416,Rail,Route B
SKU73,5,Carrier B,1.512936837,Road,Route A
SKU74,5,Carrier A,5.23765465,Rail,Route A
SKU75,10,Carrier C,2.473897761,Air,Route C
SKU76,10,Carrier A,7.054538337,Rail,Route A
SKU77,4,Carrier B,6.780946626,Road,Route B
SKU78,5,Carrier B,8.467049771,Sea,Route C
SKU79,1,Carrier B,6.496325364,Air,Route C
SKU80,2,Carrier C,2.833184679,Sea,Route B
SKU81,5,Carrier B,4.066277502,Rail,Route B
SKU82,1,Carrier A,4.708181874,Road,Route C
SKU83,8,Carrier B,4.949839578,Road,Route A
SKU84,10,Carrier A,8.381615625,Air,Route B
SKU85,2,Carrier C,8.249168705,Road,Route B
SKU86,6,Carrier B,1.45430531,Rail,Route A
SKU87,10,Carrier A,6.575803798,Sea,Route B
SKU88,7,Carrier A,3.801253133,Sea,Route A
SKU89,8,Carrier B,9.929816245,Rail,Route B
SKU90,7,Carrier B,7.674430708,Rail,Route B
SKU91,7,Carrier B,7.471514084,Rail,Route B
SKU92,8,Carrier B,4.469500026,Rail,Route B
SKU93,1,Carrier C,7.006432059,Air,Route A
SKU94,9,Carrier B,6.942945942,Rail,Route B
SKU95,9,Carrier B,8.63033887,Air,Route A
SKU96,3,Carrier C,5.352878044,Road,Route A
SKU97,9,Carrier A,7.904845611,Road,Route A
SKU98,7,Carrier B,1.409801095,Rail,Route A
SKU99,6,Carrier B,1.311023756,Rail,Route B
