SKU,Supplier name,Location,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Costs
SKU0,Supplier 3,Mumbai,215,29,46.27987924,Pending,0.226410361,187.7520755
SKU1,Supplier 3,Mumbai,517,30,33.61676895,Pending,4.854068026,503.0655791
SKU2,Supplier 1,Mumbai,971,27,30.68801935,Pending,4.580592619,141.9202818
SKU3,Supplier 5,Kolkata,937,18,35.6247414,Fail,4.746648621,254.7761592
SKU4,Supplier 1,Delhi,414,3,92.0651606,Fail,3.145579523,923.4406317
SKU5,Supplier 4,Bangalore,104,17,56.76647556,Fail,2.779193512,235.4612367
SKU6,Supplier 3,Kolkata,314,24,1.08506857,Pending,1.000910619,134.3690969
SKU7,Supplier 4,Bangalore,564,1,99.4661086,Fail,0.398177187,802.0563118
SKU8,Supplier 4,Mumbai,769,8,11.42302714,Pending,2.709862691,505.5571342
SKU9,Supplier 2,Chennai,963,23,47.95760163,Pending,3.844614479,995.9294615
SKU10,Supplier 5,Kolkata,830,5,96.52735279,Pass,1.727313928,806.1031777
SKU11,Supplier 2,Kolkata,362,11,27.59236309,Pending,0.021169821,126.7230334
SKU12,Supplier 4,Kolkata,563,3,32.32128621,Fail,2.161253748,402.9687891
SKU13,Supplier 5,Bangalore,173,10,97.82905011,Pending,1.63107423,547.2410052
SKU14,Supplier 1,Kolkata,558,14,5.79143663,Pending,0.100682852,929.23529
SKU15,Supplier 1,Bangalore,580,7,97.12128175,Pass,2.264405761,127.8618
SKU16,Supplier 1,Bangalore,399,21,77.1063425,Pass,1.012563089,865.5257798
SKU17,Supplier 1,Chennai,453,16,47.67968037,Fail,0.102020755,670.9343908
SKU18,Supplier 2,Kolkata,374,17,27.10798085,Pending,2.231939111,593.4802587
SKU19,Supplier 4,Chennai,694,16,82.37332059,Fail,3.646450865,477.3076311
SKU20,Supplier 1,Chennai,309,6,65.68625961,Pass,4.231416574,493.8712153
SKU21,Supplier 5,Chennai,791,4,61.73572895,Pending,0.018607568,523.3609147
SKU22,Supplier 4,Kolkata,780,28,50.12083961,Fail,2.591275473,205.5719958
SKU23,Supplier 5,Kolkata,568,29,98.60995724,Pending,1.342291563,196.3294461
SKU24,Supplier 2,Bangalore,447,3,40.3823597,Pending,3.691310293,758.7247726
SKU25,Supplier 4,Kolkata,934,23,78.28038312,Pending,3.797231217,458.5359457
SKU26,Supplier 2,Bangalore,171,4,15.97222976,Pass,2.119319737,617.8669165
SKU27,Supplier 5,Mumbai,291,4,10.52824507,Fail,2.864667838,762.4591822
SKU28,Supplier 1,Mumbai,171,7,59.42938181,Fail,0.815757079,123.4370275
SKU29,Supplier 1,Kolkata,329,7,39.29287559,Pass,3.878098937,764.9353759
SKU30,Supplier 4,Kolkata,806,30,51.6348934,Pending,0.965394705,880.0809882
SKU31,Supplier 3,Chennai,461,8,60.25114566,Pending,2.989000007,609.3792066
SKU32,Supplier 3,Kolkata,737,7,29.69246715,Pass,1.946036119,761.1739095
SKU33,Supplier 5,Chennai,251,23,23.85342751,Fail,3.541046012,371.2552955
SKU34,Supplier 1,Chennai,452,10,10.75427282,Pass,0.646604559,510.3580004
SKU35,Supplier 1,Delhi,367,2,58.00478704,Pass,0.541154098,553.4204712
SKU36,Supplier 2,Delhi,671,19,45.53136424,Fail,3.805533379,403.8089742
SKU37,Supplier 3,Kolkata,867,15,34.34327747,Pending,2.610288085,183.932968
SKU38,Supplier 5,Mumbai,841,12,5.930693646,Pending,0.613326899,339.6728699
SKU39,Supplier 2,Kolkata,791,6,9.005807429,Fail,1.451972204,653.6729946
SKU40,Supplier 1,Kolkata,793,1,88.1794071,Pending,4.213269431,529.808724
SKU41,Supplier 4,Chennai,892,7,95.33206455,Fail,0.045302262,275.5243711
SKU42,Supplier 5,Bangalore,179,7,96.42282064,Fail,4.939255289,635.6571205
SKU43,Supplier 5,Mumbai,206,23,26.27736596,Pending,0.372304768,716.0441198
SKU44,Supplier 2,Delhi,834,18,22.55410662,Fail,2.96262632,610.4532696
SKU45,Supplier 2,Chennai,794,25,66.31254444,Pass,3.219604612,495.305697
SKU46,Supplier 3,Chennai,870,23,77.32235321,Pending,3.648610593,380.4359371
SKU47,Supplier 1,Kolkata,964,20,19.71299291,Pending,0.380573587,581.6023551
SKU48,Supplier 2,Mumbai,109,18,23.12636358,Fail,1.698112541,768.651914
SKU49,Supplier 5,Delhi,177,28,14.14781544,Pass,2.825813985,336.8901685
SKU50,Supplier 2,Delhi,306,21,45.17875792,Fail,4.754800805,496.2486503
SKU51,Supplier 5,Bangalore,673,28,14.19032834,Pending,1.772951172,694.9823176
SKU52,Supplier 1,Mumbai,727,27,9.166849149,Pending,2.122471619,602.8984988
SKU53,Supplier 1,Delhi,631,17,83.34405899,Pending,1.410347576,750.7378407
SKU54,Supplier 1,Kolkata,497,29,30.18602338,Pass,2.478771976,814.0699966
SKU55,Supplier 2,Delhi,918,5,30.32354526,Fail,4.548919659,323.012928
SKU56,Supplier 1,Mumbai,826,28,12.83628457,Pass,1.173755495,832.2108087
SKU57,Supplier 2,Delhi,588,25,67.77962299,Pending,2.51117483,482.1912386
SKU58,Supplier 3,Delhi,396,7,65.04741509,Fail,1.73037472,110.3643352
SKU59,Supplier 1,Kolkata,176,4,1.900762244,Fail,0.447194015,312.5742736
SKU60,Supplier 4,Mumbai,929,24,87.21305782,Fail,2.853090617,430.169097
SKU61,Supplier 4,Kolkata,480,12,78.70239397,Fail,4.367470538,164.3665282
SKU62,Supplier 2,Mumbai,751,14,21.04864273,Pass,1.874001404,320.8465158
SKU63,Supplier 3,Bangalore,736,10,20.07500398,Pending,3.63284329,687.2861779
SKU64,Supplier 1,Delhi,328,6,8.693042426,Fail,0.159486315,771.2250847
SKU65,Supplier 5,Kolkata,358,21,1.597222743,Fail,4.911095955,555.8591037
SKU66,Supplier 5,Kolkata,867,28,42.08443674,Fail,3.448063288,393.8433486
SKU67,Supplier 1,Mumbai,198,11,7.057876147,Pass,0.131955444,169.2718014
SKU68,Supplier 2,Bangalore,375,18,97.11358156,Fail,1.983467872,299.7063031
SKU69,Supplier 4,Kolkata,862,7,77.62776581,Pending,1.362387989,207.6632062
SKU70,Supplier 1,Bangalore,775,16,11.44078182,Pass,1.830575599,183.2728987
SKU71,Supplier 2,Bangalore,258,10,30.66167748,Pending,2.078750608,405.1670679
SKU72,Supplier 1,Bangalore,152,11,55.7604929,Pending,3.213329607,677.9445698
SKU73,Supplier 4,Chennai,444,4,46.8702388,Fail,4.620546065,866.4728001
SKU74,Supplier 4,Delhi,919,9,80.58085216,Fail,0.396612724,341.5526568
SKU75,Supplier 1,Chennai,759,11,48.06478264,Pass,2.030069089,873.129648
